WKT,ID,Spielplatz-Name,Groesse,Bereich,Ball,Skater,Streetball,Rechtswert,Hochwert
POINT (3405248 5759252),1,SP MÜHLENSTRASSE,3040,A+B/C,0,,,3405248,5759252
POINT (3405233 5759876),2,SP ÜBERWASSERSCHULE,800,B/C,0,,,3405233,5759876
POINT (3405162 5759564),3,SP WILMERGASSE,492,B/C,0,,,3405162,5759564
POINT (3405874 5760179),4,SP COERDEPLATZ,2377,A+B/C,0,,,3405874,5760179
POINT (3406053 5759948),5,SP MARTINISCHULE,776,B/c,0,,,3406053,5759948
POINT (3404575 5758506),6,SP SCHARNHORSTSTRASSE,1072,B/C,0,,,3404575,5758506
POINT (3404976 5758568),7,SP KÖRNERSTRASSE,615,B/C,0,,,3404976,5758568
POINT (3405236 5758969),8,SP AM KANONENGRABEN,1839,B/C,0,,,3405236,5758969
POINT (3406002 5758355),9,SP FRIEDRICH-EBERT-STRASSE (STREETBALLPLATZ),932,B/C,1,,ja,3406002,5758355
POINT (3405458 5758321),10,SP JOSEFSCHULE,950,B/C,0,,Balltrichter,3405458,5758321
POINT (3405953 5759050),11,SP ENGELENSCHANZE,140,C,0,,,3405953,5759050
POINT (3406225 5759394),12,SP SERVATIIPLATZ,764,B/C,0,,,3406225,5759394
POINT (3406675 5758738),13,SP ELISABETH-KIRCHPLATZ,886,B/C,0,,,3406675,5758738
POINT (3406917 5758786),14,SP HANSAPLATZ,3300,A+B/C,2,,,3406917,5758786
POINT (3406421 5758629),15,SP SOESTER STRASSE,888,B/C,0,,,3406421,5758629
POINT (3406476 5759004),16,SP BREMER PLATZ,600,B/C,0,,,3406476,5759004
POINT (3406913 5759289),17,SP BODELSCHWINGHSCHULE,422,B/C,0,,,3406913,5759289
POINT (3406851 5759913),18,SP STAUFENSTRASSE,473,B/C,0,,,3406851,5759913
POINT (3407055 5759567),19,SP OSTSTRASSE,2608,A+B/C,0,,,3407055,5759567
POINT (3406700 5759258),20,SP ZUMSANDEPLATZ,2392,A+B/C,2,,,3406700,5759258
POINT (3406624 5759117),21,SP DIEPENBROCKSTRASSE,729,B/C,0,,,3406624,5759117
POINT (3406989 5759740),22,SP HAVICHHORSTSTRASSE,385,B/C,0,,,3406989,5759740
POINT (3406791 5760392),23,SP ALSENSTRASSE,1505,B/C,0,,,3406791,5760392
POINT (3406122 5760471),24,SP MAXIMILIANSTRASSE-SÜD,740,B/C,0,,,3406122,5760471
POINT (3406116 5760590),25,SP MAXIMILIANSTRASSE-NORD,500,B/C,0,,,3406116,5760590
POINT (3406484 5760633),26,SP VINZENSWEG,2302,B/C,2,,ja,3406484,5760633
POINT (3406058 5760355),27,SP ZEPPELINSTRASSE,508,B/C,0,,,3406058,5760355
POINT (3406234 5760694),28,SP RJASANSTRASSE,3395,A,0,,,3406234,5760694
POINT (3406532 5759705),29,SP JOHANNE-WALHORN-WEG,580,B/C,0,,,3406532,5759705
POINT (3405106 5760178),30,SP KLEIMANNSTRASSE,1660,A+B/C,0,,,3405106,5760178
POINT (3405368 5760244),31,SP KREUZSCHANZE,1382,B/C,0,,,3405368,5760244
POINT (3405852 5760281),32,SP COERDEPLATZ             (BALLSPIELPLATZ),560,A+B/C,1,,,3405852,5760281
POINT (3405757 5760421),33,SP MARTIN-LUTHER-SCHULE,500,B/C,0,,,3405757,5760421
POINT (3405832 5760870),34,SP TANNENBERGSTRASSE,963,B/C,2,,,3405832,5760870
POINT (3404982 5760618),35,SP MELCHERSSTRASSE,2075,B/C,0,,ja,3404982,5760618
POINT (3405540 5760823),36,SP WICHERNSTRASSE,1510,B/C,0,,,3405540,5760823
POINT (3405012 5760756),37,SP MARTIN-NIEMÖLLER-PARK,5100,A+B/C,2,,,3405012,5760756
POINT (3405116 5760304),38,SP STUDTSTRASSE,819,B/C,0,,,3405116,5760304
POINT (3404635 5760608),39,SP GASSELSTIEGE - SÜD,590,B/C,0,,,3404635,5760608
POINT (3404547 5760820),40,SP GASSELSTIEGE - NORD,681,B/C,0,,,3404547,5760820
POINT (3404684 5759484),41,SP ALTER ZOO,2380,A+B/C,2,,,3404684,5759484
POINT (3404578 5760137),42,SP WILHELMSTRASSE,4269,A+B/C,2,,,3404578,5760137
POINT (3403876 5757413),43,SP VON-OSSIETZKY-STRASSE,1790,A+B/C,0,,,3403876,5757413
POINT (3403962 5757922),44,SP AASEE: MECKLENBECKER STRASSE,866,B/C,0,,,3403962,5757922
POINT (3404519 5757550),45,SP WESELER STRASSE,3330,A,2,,,3404519,5757550
POINT (3404545 5757813),46,SP DUNANTSTRASSE,1023,B/C,0,,,3404545,5757813
POINT (3404362 5757742),47,SP AASEEMARKT,1500,B/C,0,,,3404362,5757742
POINT (3404024 5757701),48,SP KLAUSENERSTRASSE 43,263,C,0,,,3404024,5757701
POINT (3404056 5757754),49,SP KLAUSENERSTRASSE 31,255,C,0,,,3404056,5757754
POINT (3404094 5757804),50,SP KLAUSENERSTRASSE 19,256,C,0,,,3404094,5757804
POINT (3403790 5757007),51,SP KLEIHORSTSTRASSE        (BALLSPIELPLATZ),1151,A+B/C,1,,,3403790,5757007
POINT (3403703 5757166),52,SP CANISIUSWEG,981,B/C,0,,,3403703,5757166
POINT (3403830 5756896),53,"SP KLEIHORSTSTRASSE, A-Bereich",3451,A,,,,3403830,5756896
POINT (3404293 5756936),54,SP RÜPINGSTRASSE,815,B/C,0,,,3404293,5756936
POINT (3404493 5756987),55,SP KAPPENBERGER DAMM,525,B/C,0,,,3404493,5756987
POINT (3404624 5756993),56,SP MATTHIAS-CLAUDIUS-SCHULE,329,B/C,0,,,3404624,5756993
POINT (3404759 5757286),57,SP GRÜNER GRUND,2199,B/C,2,,,3404759,5757286
POINT (3405326 5757524),58,SP TRINITATISKIRCHE,1160,B/C,0,,,3405326,5757524
POINT (3404806 5757705),59,SP PARK SENTMARING         (BALLSPIELPLATZ),750,A+B/C,1,,,3404806,5757705
POINT (3404809 5756791),60,SP GUT INSEL,6086,A+B/C,2,,ja,3404809,5756791
POINT (3405268 5756987),61,SP GEISTSCHULE,2000,B/C,0,,ja,3405268,5756987
POINT (3405280 5757839),62,SP STEVENINKSTRASSE,1836,B/C,0,,,3405280,5757839
