"","iso","Country","Year","before.indepence","currency.crises","inflation.crises","stock.crash","sov.debt.crises.dom","sov.debt.crises.ext","banking.crises","crisis.tally","ifs","pop","rgdpmad","rgdppc","rconpc","gdp","iy","cpi","ca","imports","exports","narrowm","money","stir","ltrate","stocks","debtgdp","revenue","expenditure","xrusd","crisisJST","tloans","tmort","thh","tbus","hpnom","tloanspch4","no.crises.p.3yrs","ca.deficit.neg3yrs","yield.conversion","stir.up","impexp.ratio","stocks.crsi","hpnom.crsi","xrusd.crsi","credit.gdp.crsi"
"1","AUS","Australia",1870,0,0,0,0,0,0,0,0,193,1775,3273.23943661972,13.8361565577557,NA,208.78,0.1092656,2.708333,-6.147594,36,37,23.3,54.3,4.88,4.878,0.0818417171092518,0.172568,NA,NA,0.36607,0,54.792,1.68,1.68,53.112,0.492252613624,NA,NA,0,1,NA,NA,NA,NA,NA,NA
"2","AUS","Australia",1871,0,0,0,0,0,0,0,0,193,1675,3298.50746268657,13.9368644901559,NA,211.56,0.1045791,2.666667,5.260774,34,46,27.2,59.5,4.6,4.6729,0.075261643053668,0.191799,NA,NA,0.36703,0,53.748,1.766,1.766,51.982,0.469877494822909,NA,NA,0,0,0,0.972972972972973,NA,NA,NA,NA
"3","AUS","Australia",1872,0,0,0,0,0,0,0,0,193,1722,3553.4262485482,15.044246890548,NA,227.4,0.130438,2.541667,7.867636,38,53,36.2,68.5,4.6,4.6948,0.0869723547128187,0.15492,NA,NA,0.36479,0,55.822,1.47,1.47,54.352,0.484794240690303,NA,NA,0,0,0,0.739130434782609,NA,NA,NA,NA
"4","AUS","Australia",1873,0,0,0,0,0,0,0,0,193,1769,3823.62916902205,16.2194426725563,NA,266.54,0.1249862,2.541667,-11.0478328,49,50,38.6,73.7,4.4,4.717,0.100566133754432,0.142692,NA,NA,0.36413,0,65.38,1.364,1.364,64.016,0.469877494822909,NA,1,1,0,0,0.716981132075472,NA,NA,NA,NA
"5","AUS","Australia",1874,0,0,0,0,0,0,0,0,193,1822,3834.79692645445,16.268227821719,NA,287.58,0.1419599,2.666667,-5.5639588,49,54,37.9,79.3,4.5,4.6083,0.106107327724301,0.194322,NA,NA,0.37018,0,71.478,1.434,1.434,70.044,0.56683634296097,0,1,1,0,1,0.98,NA,NA,NA,NA
"6","AUS","Australia",1875,0,0,0,0,0,0,0,0,193,1874,4138.20704375667,17.5921069732709,NA,300.74,0.160564,2.75,-7.9087368,50,52,37.5,88.5,4.6,4.59,0.111136815058433,0.233687,NA,NA,0.35898,0,79.954,1.564,1.564,78.39,0.56683634296097,1,1,1,1,1,0.907407407407407,NA,NA,NA,NA
"7","AUS","Australia",1876,0,0,0,0,0,0,0,0,193,1929,4007.25764644894,17.0190332916129,NA,311.26,0.1678778,2.791667,-6.9521128,48,51,38.2,95.8,4.6,4.49,0.111776451404093,0.158506,NA,NA,0.3695,0,86.206,1.86,1.86,84.346,0.522086105358788,1,1,1,1,0,0.961538461538462,NA,NA,NA,NA
"8","AUS","Australia",1877,0,0,0,0,0,0,0,0,193,1995,4036.09022556391,17.1456520086306,NA,313.66,0.2099336,2.875,-14.6247988,52,51,40.2,105.7,4.5,4.35,0.117213360342204,0.176092,NA,NA,0.39726,0,101.036,2.42,2.42,98.616,0.522086105358788,1,1,1,1,0,0.941176470588235,NA,NA,NA,NA
"9","AUS","Australia",1878,0,0,0,0,0,0,0,0,193,2062,4277.40058195926,18.2052613998842,NA,324.3,0.181141,2.833333,-16.3359228,52,50,38.7,106.2,4.8,4.46,0.113375542268244,0.172852,NA,NA,0.41089,0,106.648,2.754,2.754,103.894,0.589211461762061,1,1,0,1,1,1.01960784313725,NA,NA,NA,NA
"10","AUS","Australia",1879,0,0,0,0,0,0,0,0,193,2127,4204.98354489892,17.8872470043049,NA,334.44,0.1615086,2.75,-12.3326728,48,44,37.2,108.3,4.9,4.5,0.0972247245403274,0.208934,NA,NA,0.41461,0,102.726,2.9,2.9,99.826,0.604128207629455,0,1,0,1,1,1.04,NA,NA,NA,NA
