year,iso,rgdpbarro,rgdp,loans1,bassets2,govass,narrowm,money,gdp,iy,cpi,pop,stir,ltrate,crisisST,stocks,currency,inflation ,stock_market,domestic_debt,external_debt ,banking_crisis,crisis_tally
1870,AUS,13.6701498,3273.23999,NA,NA,NA,23.29999924,54.29999924,163.3999939,0.109265603,2.708333015,1775,0.048799999,0.048780002,0,NA,0,0,0,0,0,0,0
1871,AUS,13.76973248,3298.508057,NA,NA,NA,27.20000076,59.5,156.8000031,0.104579099,2.666666985,1675,0.046,0.046728998,0,NA,0,0,0,0,0,0,0
1872,AUS,14.86375999,3553.426025,NA,NA,NA,36.20000076,68.5,187.1999969,0.130438,2.541666985,1722,0.046,0.046948001,0,NA,0,0,0,0,0,0,0
1873,AUS,16.02485085,3823.628906,64.01999664,81.7519989,NA,38.59999847,73.69999695,217.3999939,0.124986202,2.541666985,1769,0.044,0.047169998,0,NA,0,0,0,0,0,0,0
1874,AUS,16.07305717,3834.797119,70.04000092,88.39399719,NA,37.90000153,79.30000305,219.3999939,0.141959906,2.666666985,1822,0.045000002,0.046083,0,NA,0,0,0,0,0,0,0
1875,AUS,17.38105583,4138.207031,78.38999939,97.85199738,NA,37.5,88.5,237.6000061,0.160564005,2.75,1874,0.046,0.045899998,0,4.216400146,0,0,0,0,0,0,0
1876,AUS,16.81490707,4007.258057,84.34999847,106.0619965,NA,38.20000076,95.80000305,235.6000061,0.167877793,2.791666985,1929,0.046,0.0449,0,4.787399769,0,0,0,0,0,0,0
1877,AUS,16.94003105,4036.090088,98.62000275,118.7300034,NA,40.20000076,105.6999969,242,0.209933594,2.875,1995,0.045000002,0.043499999,0,5.013199806,0,0,0,0,0,0,0
1878,AUS,17.98686028,4277.399902,103.8899994,122.7600021,NA,38.70000076,106.1999969,252.3999939,0.181141004,2.833333015,2062,0.048,0.044599999,0,3.9375,0,0,0,0,0,0,0
1879,AUS,17.67273903,4204.98291,99.83000183,122.8860016,NA,37.20000076,108.3000031,257.2000122,0.161508605,2.75,2127,0.048999999,0.045000002,0,4.150000095,0,0,0,0,0,0,0
1880,AUS,18.02179146,4285.38916,91.01000214,120.4420013,NA,44.59999847,114.8000031,276.2000122,0.176472396,2.666666985,2197,0.046999998,0.041200001,0,4.741000175,0,0,0,0,0,0,0
1881,AUS,18.75769234,4454.826172,111.9700012,141.6000061,NA,57.29999924,134,290.5,0.212345496,2.625,2269,0.046999998,0.038400002,0,5.604199886,0,0,0,0,0,0,0
1882,AUS,17.04869461,4062.605957,139.8800049,167.2480011,NA,55.59999847,149.3000031,313.2000122,0.180526704,2.666666985,2348,0.045000002,0.038899999,0,5.617400169,0,0,0,0,0,0,0
1883,AUS,18.85347557,4475.275879,151.1199951,178.1600037,NA,52.40000153,155.8999939,327.1000061,0.187123001,2.958333015,2447,0.046999998,0.041999999,0,6.83920002,0,0,0,0,0,0,0
1884,AUS,18.09801865,4303.600098,161.7799988,196.4160004,NA,56.59999847,171.8999939,335.2999878,0.203506202,3,2556,0.048999999,0.041700002,0,6.726299763,0,0,0,0,0,0,0
1885,AUS,18.61539459,4422.26416,178.6199951,214.371994,NA,61.79999924,182.8999939,343.5,0.1862147,3,2650,0.048,0.041999999,0,7.038400173,0,0,0,0,0,0,0
1886,AUS,18.21124458,4329.441895,185.3200073,222.8880005,NA,58.5,186.3000031,358.2999878,0.218213901,3,2741,0.046999998,0.041099999,0,6.786099911,0,0,0,0,0,0,0
1887,AUS,19.52645683,4631.746094,192.8300018,238.147995,NA,66.30000305,199.6999969,381.2999878,0.2019936,2.916666985,2835,0.046,0.037037,0,8.180500031,0,0,0,0,0,0,0
1888,AUS,18.96839714,4503.750977,223.9499969,269.1199951,NA,75.30000305,218.6000061,405.7000122,0.210911006,2.791666985,2932,0.046,0.037037,0,9.774100304,0,0,0,0,0,0,0
1889,AUS,20.02370834,4746.855957,239.2299957,287.9700012,NA,71.69999695,227.5,418.7999878,0.186122403,2.791666985,3022,0.045000002,0.036697,0,9.09679985,0,0,0,0,0,0,0
1890,AUS,18.76954651,4457.675781,250.1199951,302.6820068,NA,74,236.5,409.1000061,0.169927299,2.791666985,3107,0.043000001,0.037383001,0,8.67179966,0,0,0,0,0,0,0
1891,AUS,19.67382622,4666.458008,254.4700012,305.723999,NA,69.5,238.6999969,373.7000122,0.195448697,2.75,3196,0.043000001,0.038095001,0,7.297399998,0,0,0,0,0,0,0
1892,AUS,16.77567291,3995.417969,251.7599945,304.1740112,NA,67.09999847,240.6000061,323.8999939,0.136705697,2.708333015,3274,0.043000001,0.038095001,0,7.24420023,0,0,0,0,0,0,0
1893,AUS,15.54615974,3707.85791,225.3800049,280.8640137,NA,60.5,217.8000031,301.2999878,0.111522898,2.625,3334,0.041999999,0.038462002,1,6.427499771,0,0,0,0,0,1,1
1894,AUS,15.79241848,3765.538086,213.6900024,271.4100037,NA,65,216.6000061,288.8999939,0.119460598,2.458333015,3395,0.039000001,0.035,0,6.613399982,0,0,0,0,0,0,0
1895,AUS,14.60309601,3487.282959,198.6199951,258.9020081,NA,74.40000153,222.3000031,300.2999878,0.110825002,2.291666985,3460,0.035999998,0.0307,0,7.450099945,0,0,0,0,0,0,0
1896,AUS,15.4458065,3684.927979,196.5500031,259.5159912,NA,81,226.3999939,313.1000061,0.129618004,2.291666985,3523,0.033,0.029999999,0,7.171199799,0,0,0,0,0,0,0
1897,AUS,14.31533051,3419.967041,187.6300049,245.7319946,NA,80.19999695,222.5,331.5,0.1004498,2.291666985,3586,0.030999999,0.032200001,0,7.390299797,0,0,0,0,0,0,0
1898,AUS,16.31891823,3891.269043,174.6100006,232.2579956,NA,79.19999695,219.6999969,359.6000061,0.127001703,2.25,3642,0.029999999,0.029999999,0,8.114100456,0,0,0,0,0,0,0
1899,AUS,16.09936142,3839.610107,169.0200043,228.2599945,NA,88.5,233.1999969,370.6000061,0.127465606,2.375,3691,0.030999999,0.031199999,0,8.651900291,0,0,0,0,0,0,0
1900,AUS,16.83778191,4013.36499,171.2899933,233.4600067,NA,89.80000305,243.1999969,379.6000061,0.121062897,2.416666985,3741,0.030999999,0.033399999,0,9.42689991,0,0,0,0,0,0,0
1901,AUS,16.09455872,3838.735107,172.7100067,233.5240021,NA,93.5,251,398.7999878,0.131264895,2.458333015,3795,0.0288,0.0383,0,8.676799774,0,0,0,0,0,0,0
1902,AUS,16.02591705,3822.596924,171.8800049,233.2680054,NA,93.69999695,257.1000061,391.6000061,0.155405402,2.625,3850,0.0288,0.035700001,0,9.534999847,0,0,0,0,0,0,0
1903,AUS,17.10196495,4076.231934,172.7899933,232.0800018,NA,93,256.2000122,448,0.158878505,2.666666985,3896,0.031300001,0.037900001,0,11.05539989,0,0,0,0,0,0,0
1904,AUS,18.03043938,4294.729004,170.4299927,227.5659943,NA,90.19999695,257.6000061,444,0.116071403,2.541666985,3946,0.032499999,0.040100001,0,11.29199982,0,0,0,0,0,0,0
1905,AUS,17.97607803,4281.967773,166.1300049,227.9680023,NA,92.09999847,270.7999878,479,0.105855897,2.541666985,4004,0.032499999,0.034499999,0,12.3597002,0,0,0,0,0,0,0
1906,AUS,18.93610954,4507.38623,169.9100037,235.5359955,NA,100.5,292.7999878,538,0.110647202,2.583333015,4062,0.032499999,0.033799998,0,13.08269978,0,0,0,0,0,0,0
1907,AUS,19.40154266,4616.428223,182.8200073,251.4819946,NA,112.6999969,313.2000122,536,0.133828998,2.583333015,4127,0.0319,0.035700001,0,13.68410015,0,0,0,0,0,0,0
1908,AUS,19.72929764,4693.11377,194.8200073,267.2420044,NA,111.9000015,324.2000122,573,0.141791001,2.666666985,4197,0.0319,0.036600001,0,15.40060043,0,0,0,0,0,0,0
1909,AUS,20.9611721,4980.599121,189.6900024,263.6159973,NA,113.1999969,337.6000061,623,0.130890101,2.708333015,4278,0.031300001,0.038199998,0,16.77910042,0,0,0,0,0,0,0
1910,AUS,21.94777679,5209.829102,194.1999969,277.6759949,NA,130.1999969,368,684,0.130015999,2.75,4375,0.031300001,0.036400001,0,17.20490074,0,0,0,0,0,0,0
1911,AUS,21.48824501,5103.777832,217.3600006,319.5899963,NA,147.1999969,410.7000122,734,0.143274903,2.958333015,4500,0.032499999,0.0383,0,18.27260017,0,0,0,0,0,0,0
1912,AUS,21.46512794,5098.477051,238.7700043,330.7479858,NA,150.8999939,435.2000122,802,0.168937296,3.208333015,4661,0.033799998,0.048500001,0,18.93479919,0,0,0,0,0,0,0
1913,AUS,21.71916389,5156.813965,226.3500061,328.1119995,NA,143.3999939,440,864,0.183291793,3.166666985,4821,0.033,0.0425,0,19.63759995,0,0,0,0,0,0,0
1914,AUS,21.15867996,5026.758789,230.6600037,350.1499939,NA,159.3000031,478.7000122,838,0.172453701,3.333333015,4933,0.033,0.0447,0,20.80669975,0,0,0,0,0,0,0
1915,AUS,20.60659599,4896.600098,234.1100006,387.75,NA,164,507.2000122,969,0.152744606,3.708333015,4971,NA,0.0506,0,19.07670021,0,0,1,0,0,0,1
1916,AUS,20.52985001,4878.305176,266.6799927,438.7260132,NA,207.5,557.0999756,1022,0.124871001,3.791666985,4955,NA,0.053300001,0,17.46839905,0,0,1,0,0,0,1
1917,AUS,20.16327477,4791.11084,247.9299927,424.4620056,NA,245,613.9000244,1062,0.116438396,4.041666985,4950,NA,0.049400002,0,19.13080025,0,0,0,0,0,0,0
1918,AUS,19.35229683,4601.549805,280.7900085,471.993988,NA,261.2000122,658.5999756,1145,0.1007533,4.333333015,5032,NA,0.052900001,0,19.90110016,0,0,0,0,0,0,0
1919,AUS,19.84719849,4715.579102,354.8999939,554.2719727,NA,277.3999939,727.7999878,1253,0.121397398,4.875,5193,NA,0.058699999,0,21.94869995,0,0,0,0,0,0,0
1920,AUS,20.06435204,4765.583984,321.9500122,539.0759888,NA,307.7999878,777.5,1382,0.164405406,4.958333015,5358,NA,0.0722,0,22.50279999,1,0,0,0,0,0,1
1921,AUS,20.68759727,4910.821777,385.9700012,623.5079956,NA,301.1000061,814.9000244,1378,0.175832093,4.5,5461,NA,0.0678,0,25.33429909,0,0,0,0,0,0,0
1922,AUS,21.34489441,5063.687988,363.5100098,603.5180054,NA,296.8999939,838.2999878,1510,0.187227905,4.416666985,5574,NA,0.060899999,0,29.07799911,0,0,0,0,0,0,0
1923,AUS,21.89783287,5192.030762,402.7000122,653.2059937,NA,302,891.2999878,1569,0.180794701,4.416666985,5697,NA,0.052700002,0,32.07830048,0,0,0,0,0,0,0
1924,AUS,22.86881256,5417.425781,417.6499939,667.6939697,NA,306.7999878,895.5,1722,0.184831098,4.458333015,5819,NA,0.059599999,0,34.91650009,0,0,0,0,0,0,0
1925,AUS,23.45369148,5553.087891,414.6199951,689.7739868,NA,303.8999939,922.7000122,1659,0.175377503,4.5,5943,NA,0.051199999,0,38.43050003,0,0,0,0,0,0,0
1926,AUS,23.53760529,5572.560059,448.9899902,735.4459839,NA,315.8999939,969.2000122,1729,0.183845699,4.5,6064,NA,0.052956998,0,41.60660172,0,0,0,0,0,0,0
1927,AUS,23.4136219,5543.793945,498.8800049,780.9099731,NA,311.1000061,997.0999756,1739,0.186234802,4.583333015,6188,NA,0.051100001,0,46.34360123,0,0,0,0,0,0,0
1928,AUS,23.01770973,5451.776855,474.1700134,785.117981,NA,301.2000122,1032.400024,1712,0.186314002,4.625,6304,NA,0.050500002,0,49.42509842,0,0,0,0,0,0,0
1929,AUS,22.20895386,5262.977051,525.1900024,730.802002,NA,302.2999878,1079.699951,1566,0.178738296,4.625,6396,0.045000002,0.0524,0,44.43119812,0,0,1,0,0,0,1
1930,AUS,19.84159279,4708.300781,555.3200073,758.7579956,NA,247.8000031,1026.699951,1287,0.152618095,4.25,6469,0.052200001,0.059,0,29.38879967,0,0,1,0,0,0,1
1931,AUS,18.33345222,4353.60791,508.480011,780.3040161,NA,241.8000031,996,1210,0.136752099,4.083333015,6527,0.058800001,0.0548,0,32.71360016,1,0,0,0,0,1,2
1932,AUS,19.22548866,4563.76416,481.9200134,794.4840088,NA,254.8000031,1060.5,1264,0.098347098,3.916666985,6579,0.041700002,0.054000001,0,39.21440125,1,0,0,0,0,1,2
1933,AUS,20.40859032,4842.407227,482.1799927,813.3339844,NA,251.1999969,1063.599976,1356,0.105221502,3.916666985,6631,0.033500001,0.038199998,0,47.4856987,0,0,0,0,0,0,0
1934,AUS,21.33211708,5059.861816,487.4700012,836.0560303,NA,286.2999878,1123.300049,1432,0.113569297,3.916666985,6682,0.0244,0.032000002,0,56.52059937,0,0,0,0,0,0,0
